_00_ID|_01_PRODUCTO|_02_CONTENIDO|_03_TIPO_MEDIDA|_04_PRECIO_VENTA|_05_COD_BARRAS|_06_CANTIDAD|_07_COSTO_COMP|_08_PROVEDOR|_09_GRUPO|_10_CANT_X_PAQUET|_11_ES_PAQUETE|_12_CODBAR_PAQUETE|_13_COD_BAR_INDIVIDUAL_ES_PAQ|_14_LIGAR_PROD_SAB|_15_IMPUESTOS|_16_INGREDIENTES|_17_CADUCIDAD|_18_ULTIMO_MOV|_19_SUCUR_VENT|_20_CLAF_PROD|_21_DIR_IMG_INTER|_22_DIR_IMG_COMP|_23_INFO_EXTRA|_24_PROCESO_CREAR|_25_DIR_VID_PROC_CREAR|_26_NO_PONER_NADA
17|DESAYUNO SINCRONISADAS|0|NOSE|40|17|1000|200|PROVEDOR1¬58|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC17|0|https://i.ibb.co/f9rWzg4/15-sincronisadas.jpg|NOSE|NOSE|NOSE|NOSE|
18|DESAYUNO MOLLETES|0|NOSE|50|18|1000|200|PROVEDOR1¬59|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC18|0|https://i.ibb.co/MGnB1dP/19.jpg|NOSE|NOSE|NOSE|NOSE|
19|TARDE TORTA BISTEK|0|NOSE|35|19|1000|200|PROVEDOR1¬60|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC19|0|https://i.ibb.co/D9LsLFj/16-torta-de-bistec.jpg|NOSE|NOSE|NOSE|NOSE|
20|DESAYUNO COCTEL DE FRUTAS|0|NOSE|50|20|1000|200|PROVEDOR1¬61|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC20|0|https://i.ibb.co/yBZXYng/13.jpg|NOSE|NOSE|NOSE|NOSE|
21|DESAYUNO CAFE|0|NOSE|10|21|1000|200|PROVEDOR1¬62|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC21|0|https://i.ibb.co/ZBhmptQ/17-cafe.jpg|NOSE|NOSE|NOSE|NOSE|
22|DESAYUNO CAFE CON LECHE|0|NOSE|20|22|1000|200|PROVEDOR1¬63|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC22|0|https://i.ibb.co/LCTR0sW/18-cafe-con-leche.jpg|NOSE|NOSE|NOSE|NOSE|
23|DESAYUNO JUGO DE NARANJA|0|NOSE|28|23|1000|200|PROVEDOR1¬64|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC23|0|https://i.ibb.co/cbd6w41/19-jugo-de-naranja.jpg|NOSE|NOSE|NOSE|NOSE|
24|TACO CARNITAS|0|NOSE|25|24|1000|200|PROVEDOR1¬64|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC23|0|https://i.ibb.co/KNqxKcV/tacos-de-carnitas.png|NOSE|NOSE|NOSE|NOSE|
25|REFRESCO|500|ML|20|10|1000|200|PROVEDOR1¬64|PRODUCTO_INDIVIDUAL|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC23|0|https://i.ibb.co/bscpYzG/refrescos.png|NOSE|NOSE|NOSE|NOSE|
26|COD_1|-0|NOSE|120|COD|5|100|PROV¬100|PRODUCTO_PIEZA|-0|INDIVIDUAL|NOSE|NOSE|NOSE|NOSE|NOSE|SUC1¬120|-0|NOSE|-0|NOSE|NOSE|NOSE|NOSE|NOSE|
